timestamp,adjclose,open,low,volume,high,close,Symbol
7/19/2019 0:00,0.341657013,0.338829011,0.337538987,7218805,0.343686014,0.341657013,SERO-USD
7/20/2019 0:00,0.326177001,0.341068,0.320300996,5729403,0.342453003,0.326177001,SERO-USD
7/21/2019 0:00,0.272419006,0.326177001,0.234954998,12644105,0.328204989,0.272419006,SERO-USD
7/22/2019 0:00,0.271510988,0.272190005,0.243550003,9193666,0.295634001,0.271510988,SERO-USD
7/23/2019 0:00,0.260008991,0.271023005,0.255245,5477464,0.286121011,0.260008991,SERO-USD
7/24/2019 0:00,0.258644998,0.260008991,0.246290997,3625968,0.264461994,0.258644998,SERO-USD
7/25/2019 0:00,0.259438992,0.259072989,0.252793998,3092741,0.271793991,0.259438992,SERO-USD
7/26/2019 0:00,0.255757004,0.259418011,0.250995994,1897108,0.263862014,0.255757004,SERO-USD
7/27/2019 0:00,0.217171997,0.255757004,0.209901005,4575866,0.263004988,0.217171997,SERO-USD
7/28/2019 0:00,0.218986005,0.217171997,0.202236995,3403059,0.224851996,0.218986005,SERO-USD
7/29/2019 0:00,0.218162,0.218254998,0.212763995,3051676,0.223371997,0.218162,SERO-USD
7/30/2019 0:00,0.215182006,0.218173996,0.211362004,2176604,0.218860999,0.215182006,SERO-USD
7/31/2019 0:00,0.265462011,0.215095997,0.214667007,7852403,0.266889006,0.265462011,SERO-USD
8/1/2019 0:00,0.249990001,0.265688002,0.239735007,5147526,0.272725999,0.249990001,SERO-USD
8/2/2019 0:00,0.247900993,0.249943003,0.242144004,3201449,0.258630991,0.247900993,SERO-USD
8/3/2019 0:00,0.251435995,0.248806998,0.246885002,2244216,0.255014986,0.251435995,SERO-USD
8/4/2019 0:00,0.249270007,0.251596987,0.242053002,2446039,0.258240014,0.249270007,SERO-USD
8/5/2019 0:00,0.248934001,0.249461994,0.247589007,2250600,0.254705995,0.248934001,SERO-USD
8/6/2019 0:00,0.238821,0.248832002,0.235526994,2332668,0.251143008,0.238821,SERO-USD
8/7/2019 0:00,0.231755003,0.238930002,0.219251007,3421196,0.240220994,0.231755003,SERO-USD
8/8/2019 0:00,0.225035995,0.231755003,0.219386995,1999982,0.231867,0.225035995,SERO-USD
8/9/2019 0:00,0.205257997,0.225162998,0.205009997,2258793,0.225875005,0.205257997,SERO-USD
8/10/2019 0:00,0.211250007,0.205257997,0.204062998,2295628,0.219744995,0.211250007,SERO-USD
8/11/2019 0:00,0.211319,0.211227998,0.205454007,1479635,0.213254005,0.211319,SERO-USD
