timestamp,adjclose,volume,open,high,low,close,Symbol
11/9/2017 0:00,0.011019,8959570,0.009409,0.011292,0.009117,0.011019,DGB-USD
11/10/2017 0:00,0.008958,5150060,0.010949,0.011165,0.008604,0.008958,DGB-USD
11/11/2017 0:00,0.009039,3181620,0.008925,0.009528,0.008424,0.009039,DGB-USD
11/12/2017 0:00,0.00762,4119280,0.008899,0.00899,0.007295,0.00762,DGB-USD
11/13/2017 0:00,0.008461,2309150,0.007599,0.008697,0.007599,0.008461,DGB-USD
11/14/2017 0:00,0.009144,2806410,0.008566,0.009444,0.008344,0.009144,DGB-USD
11/15/2017 0:00,0.009155,3096580,0.009211,0.009417,0.008838,0.009155,DGB-USD
11/16/2017 0:00,0.009468,2641330,0.009135,0.009617,0.008934,0.009468,DGB-USD
11/17/2017 0:00,0.009163,2325530,0.009464,0.009786,0.009105,0.009163,DGB-USD
11/18/2017 0:00,0.009051,2368340,0.009108,0.009153,0.008717,0.009051,DGB-USD
11/19/2017 0:00,0.009131,2551910,0.009,0.009387,0.008816,0.009131,DGB-USD
11/20/2017 0:00,0.008747,1678270,0.009089,0.009158,0.008716,0.008747,DGB-USD
11/21/2017 0:00,0.00899,2838900,0.008818,0.009324,0.008343,0.00899,DGB-USD
11/22/2017 0:00,0.009586,3071400,0.009082,0.009694,0.00897,0.009586,DGB-USD
11/23/2017 0:00,0.009414,2362370,0.00966,0.00966,0.009163,0.009414,DGB-USD
11/24/2017 0:00,0.010135,6130750,0.009326,0.010907,0.009034,0.010135,DGB-USD
11/25/2017 0:00,0.010392,5238590,0.010046,0.010701,0.009998,0.010392,DGB-USD
11/26/2017 0:00,0.010722,3637670,0.01033,0.010852,0.01022,0.010722,DGB-USD
11/27/2017 0:00,0.011833,5518860,0.010862,0.011934,0.010494,0.011833,DGB-USD
11/28/2017 0:00,0.013182,7383800,0.011764,0.013282,0.011302,0.013182,DGB-USD
11/29/2017 0:00,0.011276,7947220,0.013223,0.014465,0.010963,0.011276,DGB-USD
11/30/2017 0:00,0.011307,3391660,0.01149,0.012244,0.010068,0.011307,DGB-USD
12/1/2017 0:00,0.012258,2544800,0.01134,0.012459,0.010637,0.012258,DGB-USD
12/2/2017 0:00,0.012344,2684510,0.012246,0.012679,0.011898,0.012344,DGB-USD
12/3/2017 0:00,0.013596,7728600,0.012525,0.014444,0.012398,0.013596,DGB-USD
12/4/2017 0:00,0.017623,28272100,0.013705,0.018105,0.013335,0.017623,DGB-USD
12/5/2017 0:00,0.015606,12511300,0.017538,0.017615,0.014802,0.015606,DGB-USD
